# Sprite offsets discovered using exhal validation
# Format: offset size tiles confidence

0x072C00  # 39129 bytes, 1222 tiles, score=0.800
0x083A00  # 42365 bytes, 1323 tiles, score=0.800
0x08BF00  # 29282 bytes, 915 tiles, score=0.798
0x08FA00  # 12796 bytes, 399 tiles, score=0.798
0x079200  # 12783 bytes, 399 tiles, score=0.798
0x0C1E00  # 12647 bytes, 395 tiles, score=0.796
0x0E2400  # 12607 bytes, 393 tiles, score=0.796
0x0E2400  # 12607 bytes, 393 tiles, score=0.796
0x0CBB00  # 12553 bytes, 392 tiles, score=0.796
0x074000  # 12395 bytes, 387 tiles, score=0.795
0x07D100  # 12242 bytes, 382 tiles, score=0.793
0x084900  # 31885 bytes, 996 tiles, score=0.793
0x0EAD00  # 12186 bytes, 380 tiles, score=0.793
0x0EAD00  # 12186 bytes, 380 tiles, score=0.793
0x07A400  # 22016 bytes, 688 tiles, score=0.793
0x0E7300  # 15400 bytes, 481 tiles, score=0.792
0x0E7300  # 15400 bytes, 481 tiles, score=0.792
0x0DC200  # 12027 bytes, 375 tiles, score=0.792
0x0E3300  # 28341 bytes, 885 tiles, score=0.791
0x0E3300  # 28341 bytes, 885 tiles, score=0.791
0x0D7600  # 11954 bytes, 373 tiles, score=0.791
0x0E8C00  # 11914 bytes, 372 tiles, score=0.791
0x0E8C00  # 11914 bytes, 372 tiles, score=0.791
0x0ECF00  # 11910 bytes, 372 tiles, score=0.791
0x0ECF00  # 11910 bytes, 372 tiles, score=0.791
0x0C5300  # 11819 bytes, 369 tiles, score=0.790
0x0E6700  # 11726 bytes, 366 tiles, score=0.789
0x0E6700  # 11726 bytes, 366 tiles, score=0.789
0x07DB00  # 5056 bytes, 158 tiles, score=0.789
0x0C0500  # 11517 bytes, 359 tiles, score=0.788
0x0DA900  # 11447 bytes, 357 tiles, score=0.787
0x0EAE00  # 11423 bytes, 356 tiles, score=0.787
0x0EAE00  # 11423 bytes, 356 tiles, score=0.787
0x086100  # 11283 bytes, 352 tiles, score=0.786
0x085100  # 30795 bytes, 962 tiles, score=0.785
0x074200  # 11055 bytes, 345 tiles, score=0.784
0x0DAA00  # 11037 bytes, 344 tiles, score=0.784
0x0BF600  # 10971 bytes, 342 tiles, score=0.784
0x07F500  # 10933 bytes, 341 tiles, score=0.783
0x0E7500  # 10855 bytes, 339 tiles, score=0.783
0x0E7500  # 10855 bytes, 339 tiles, score=0.783
0x08F500  # 10831 bytes, 338 tiles, score=0.783
0x0ED000  # 10661 bytes, 333 tiles, score=0.781
0x0ED000  # 10661 bytes, 333 tiles, score=0.781
0x0D5D00  # 10591 bytes, 330 tiles, score=0.781
0x0E4100  # 10567 bytes, 330 tiles, score=0.781
0x0E4100  # 10567 bytes, 330 tiles, score=0.781
0x07A900  # 10548 bytes, 329 tiles, score=0.780
0x085A00  # 3968 bytes, 124 tiles, score=0.780
0x0C0F00  # 26887 bytes, 840 tiles, score=0.780
0x086200  # 10436 bytes, 326 tiles, score=0.780
0x0EA400  # 10387 bytes, 324 tiles, score=0.779
0x0EA400  # 10387 bytes, 324 tiles, score=0.779
0x0E5E00  # 10357 bytes, 323 tiles, score=0.779
0x0E5E00  # 10357 bytes, 323 tiles, score=0.779
0x0D5C00  # 26692 bytes, 834 tiles, score=0.779
0x088400  # 10246 bytes, 320 tiles, score=0.778
0x0E1B00  # 26612 bytes, 831 tiles, score=0.778
0x0E1B00  # 26612 bytes, 831 tiles, score=0.778
0x085B00  # 10201 bytes, 318 tiles, score=0.778
0x0C0300  # 26553 bytes, 829 tiles, score=0.778
0x081800  # 10157 bytes, 317 tiles, score=0.777
0x0E8B00  # 10076 bytes, 314 tiles, score=0.777
0x0E8B00  # 10076 bytes, 314 tiles, score=0.777
0x0CB900  # 26444 bytes, 826 tiles, score=0.777
0x0E2200  # 10004 bytes, 312 tiles, score=0.776
0x0E2200  # 10004 bytes, 312 tiles, score=0.776
0x08E900  # 9946 bytes, 310 tiles, score=0.776
0x0E8800  # 26244 bytes, 820 tiles, score=0.775
0x0E8800  # 26244 bytes, 820 tiles, score=0.775
0x0EA300  # 9859 bytes, 308 tiles, score=0.775
0x0EA300  # 9859 bytes, 308 tiles, score=0.775
0x0CB100  # 56584 bytes, 1768 tiles, score=0.775
0x0E8200  # 61609 bytes, 1925 tiles, score=0.775
0x083C00  # 41685 bytes, 1302 tiles, score=0.775
0x089A00  # 45583 bytes, 1424 tiles, score=0.775
0x0D0A00  # 44002 bytes, 1375 tiles, score=0.775
0x0E8200  # 61609 bytes, 1925 tiles, score=0.775
0x08AB00  # 26214 bytes, 819 tiles, score=0.775
0x0E2000  # 3200 bytes, 100 tiles, score=0.774
0x0E2000  # 3200 bytes, 100 tiles, score=0.774
0x074400  # 9628 bytes, 300 tiles, score=0.773
0x0C2500  # 3072 bytes, 96 tiles, score=0.773
0x08ED00  # 26001 bytes, 812 tiles, score=0.773
0x0D8D00  # 25997 bytes, 812 tiles, score=0.773
0x08CC00  # 9588 bytes, 299 tiles, score=0.773
0x0D8500  # 25950 bytes, 810 tiles, score=0.773
0x088800  # 9501 bytes, 296 tiles, score=0.772
0x086000  # 9367 bytes, 292 tiles, score=0.771
0x0CE200  # 9348 bytes, 292 tiles, score=0.771
0x0C5800  # 9211 bytes, 287 tiles, score=0.770
0x0E6200  # 9205 bytes, 287 tiles, score=0.770
0x0E6200  # 9205 bytes, 287 tiles, score=0.770
0x0D5B00  # 25550 bytes, 798 tiles, score=0.770
0x0CBD00  # 9141 bytes, 285 tiles, score=0.770
0x0BF700  # 9108 bytes, 284 tiles, score=0.769
0x08F600  # 9038 bytes, 282 tiles, score=0.769
0x0CEF00  # 9036 bytes, 282 tiles, score=0.769
0x0D4400  # 8951 bytes, 279 tiles, score=0.768
0x0C9C00  # 25264 bytes, 789 tiles, score=0.768
0x0EA700  # 8880 bytes, 277 tiles, score=0.768
0x0EA700  # 8880 bytes, 277 tiles, score=0.768
0x07A200  # 25093 bytes, 784 tiles, score=0.766
0x0CE800  # 24927 bytes, 778 tiles, score=0.765
